disregistry,d,energy,energy_err,en,label,stacking
0.0,3.0,-154.5956038511753,0.0006246728951687238,-154.6000653270808,orig,AB
0.0,3.2,-154.60526175928538,0.00218499073579907,-154.60852094018267,orig,AB
0.0,3.35,-154.60934905246853,0.00012987783542862795,-154.61032284616155,orig,AB
0.0,3.5,-154.61032284616155,0.0001981560279821811,-154.6100208026313,orig,AB
0.0,3.65,-154.60800168990403,0.00024067768246327677,-154.60858071964097,orig,AB
0.0,3.8,-154.6057846070525,0.0006976416084969912,-154.6065965592257,orig,AB
0.0,4.0,-154.60394835386126,0.0007060404785496524,-154.60369609269037,orig,AB
0.0,4.5,-154.59732563932363,0.0003760897976453547,-154.59725847890024,orig,AB
0.0,5.0,-154.59371283790475,0.0006300259731394013,-154.59288966702283,orig,AB
0.16667,3.0,-154.59367272984977,0.0008256268481462116,-154.59801953479362,orig,SP
0.16667,3.2,-154.6059405493171,0.00048810190137959386,-154.60728657925537,orig,SP
0.16667,3.35,-154.60844595322976,0.0002458962057285028,-154.60949248485736,orig,SP
0.16667,3.5,-154.60943076078732,0.00018392539171798976,-154.60946841266647,orig,SP
0.16667,3.65,-154.60889268745456,7.963548603920887e-05,-154.6082164708508,orig,SP
0.16667,3.8,-154.60595431215148,0.00013344964064542693,-154.60635807395468,orig,SP
0.16667,4.0,-154.60343551509226,0.0005494334598936179,-154.60356171338802,orig,SP
0.16667,4.5,-154.5975379953655,0.001268833628122946,-154.59722749001978,orig,SP
0.16667,5.0,-154.59310959767495,0.0007799605478099507,-154.59288275328117,orig,SP
0.5,3.0,-154.58728817035666,0.0014281541094395569,-154.5905486082378,orig,Mid
0.5,3.2,-154.60115084633156,0.0011973219926675592,-154.6032382317383,orig,Mid
0.5,3.35,-154.60659021770974,0.00014777114535192745,-154.60693803943863,orig,Mid
0.5,3.5,-154.60769724465788,0.00011036586042630484,-154.60785770829696,orig,Mid
0.5,3.65,-154.60760731377374,0.0008751339152041335,-154.60720147340942,orig,Mid
0.5,3.8,-154.60564213615552,0.0005144533386451729,-154.60571883583629,orig,Mid
0.5,4.0,-154.60302722947196,5.194076455178869e-05,-154.60321692505283,orig,Mid
0.5,4.5,-154.5975754809003,0.00021908705616693623,-154.5971541356994,orig,Mid
0.5,5.0,-154.5935188400672,0.0001923978219972317,-154.5928672481398,orig,Mid
0.66667,3.0,-154.57374776990358,0.0006429176616348642,-154.57710703178068,orig,AA
0.66667,3.2,-154.59423901074334,0.003282347461500554,-154.59608117950776,orig,AA
0.66667,3.35,-154.60271857212098,0.0006004099071341701,-154.6024710354584,orig,AA
